P00201000042,IDP000040576,13 Apr 2016,(PA) Diberi Paten,50.4067,28-Oct-10,21-Jan-10,21-Jan-10,"2009-033993 17 Feb 2009 JP
",B62M 7/04,"HONDA MOTOR CO., LTD."
P00201000599,IDP000044216,31 Jan 2017,(PA) Dihapuskan,51.158,31-Mar-11,22-Sep-10,22-Sep-10,"2009-228871 30 Sep 2009 JP
","F02B 69/06,F02D 41/02,F02D 43/00","HONDA MOTOR CO., LTD."
P00201401719,,25 Mar 2014,(PA) Dianggap Ditarik Kembali (Direktur),2015/01881,15-May-15,,-,"2013-071730 29 Mar 2013 JP
",F02P 3/08,"HONDA MOTOR CO., LTD."
P00201400551,,30 Jan 2014,(PA) Dianggap Ditarik Kembali (Direktur),2015/01485,24-Apr-15,,-,"2011-154521 13 Jul 2011 JP
",F16H 29/08,"HONDA MOTOR CO., LTD."
P00201200864,IDP000044553,24 Feb 2017,(PA) Masa Tenggang Dihapuskan,2013/01177,25-Apr-13,12-Oct-12,12-Oct-12,"2011-238674 31 Oct 2011 JP
","H01M 2/04,H01M 2/10,H01M 2/30","HONDA MOTOR CO., LTD."
P00201501534,IDP000056790,21 Feb 2019,(PA) Diberi Paten,2016/06254,18-Nov-16,17-Mar-15,17-Mar-15,"2014-069587 28 Mar 2014 JP
","F21S 8/10,F21V 17/00,F21V 5/04,F21V 8/00,F21W 101/023","HONDA MOTOR CO., LTD."
P00201401998,IDP000049730,26 Feb 2018,(PA) Diberi Paten,2015/02380,12-Jun-15,7-Apr-14,8-Aug-12,"2011-194753 07 Sep 2011 JP
","B62J 35/00,F02M 37/00,F02M 37/10,F16J 15/06,F16J 15/10","HONDA MOTOR CO., LTD."
P00201405336,IDP000057059,08 Mar 2019,(PA) Menunggu Respon Dihapuskan,2016/01747,18-Mar-16,13-Jan-13,31-Jan-13,"2012-033222 17 Feb 2012 JP
","B62D 25/04,B62D 25/08,B62D 25/20","HONDA MOTOR CO., LTD."
P00201100130,IDP000038091,18 Mar 2015,(PA) Dihapuskan,51.4029,8-Sep-11,22-Feb-11,22-Feb-11,"2010-039529 25 Feb 2010 JP
",F02F 1/00,"HONDA MOTOR CO., LTD."
P00201000487,IDP000032517,12 Dec 2012,(PA) Dihapuskan,51.0473,10-Oct-11,3-Aug-10,3-Aug-10,"2009-182960 06 Aug 2009 JP
","B62K 11/04,B62M 7/02","HONDA MOTOR CO., LTD."
P00201402355,IDP000053528,19 Sep 2018,(PA) Diberi Paten,2015/02415,19-Jun-15,23-Apr-14,1-Oct-12,"2011-232670 24 Oct 2011 JP
","B62D 25/08,B62D 25/20,B62D 35/00","HONDA MOTOR CO., LTD."
P00201300730,IDP000049096,22 Jan 2018,(PA) Diberi Paten,2014/02570,17-Jul-14,18-Sep-13,18-Sep-13,"2012-216411 28 Sep 2012 JP
","F02B 31/00,F02B 31/02,F02B 31/04,F02B 31/06","HONDA MOTOR CO., LTD."
P00201504781,IDP000068054,11 Mar 2020,(PA) Diberi Paten,2016/05679,14-Oct-16,5-Aug-15,5-Aug-15,"2014-198191 29 Sep 2014 JP
",F01M 5/00,"HONDA MOTOR CO., LTD."
P00201500085,IDP000064066,25 Oct 2019,(PA) Diberi Paten,2017/00588,3-Feb-17,8-Jan-15,8-Jan-15,"2014-005045 15 Jan 2014 JP
",B62J 25/00,"HONDA MOTOR CO., LTD."
P00201405023,IDP000046341,15 Jun 2017,(PA) Diberi Paten,2016/00798,26-Feb-16,25-Aug-14,26-Feb-13,"2012-051592 08 Mar 2012 JP
","B62J 11/00,H04M 1/04,H04M 1/11","HONDA MOTOR CO., LTD."
P00201100520,IDP000045831,15 May 2017,(PA) Diberi Paten,2012/01698,29-Mar-12,26-Aug-11,26-Aug-11,"2010-214907 27 Sep 2010 JP
","B62K 11/02,B62K 19/30","HONDA MOTOR CO., LTD."
P00201100568,IDP000038384,27 Apr 2015,(PA) Diberi Paten,2012/03784,30-Aug-12,27-Sep-11,27-Sep-11,"2010-221599 30 Sep 2010 JP
","B60R 9/06,B62K 19/40","HONDA MOTOR CO., LTD."
P00201404491,IDP000058340,03 May 2019,(PA) Diberi Paten,2015/05538,11-Dec-15,23-Jul-14,10-Jan-13,"2012-004176 12 Jan 2012 JP
","B60K 31/00,F02D 29/02,G08G 1/09,G08G 1/16,B60W 30/16","HONDA MOTOR CO., LTD."
P00201000007,IDP000034981,15 Nov 2013,(PA) Diberi Paten,50.2645,22-Jul-10,6-Jan-10,6-Jan-10,"2009-007718 16 Jan 2009 JP
","B62J 23/00,B62J 39/00","HONDA MOTOR CO., LTD."
P00201503888,IDP000048721,05 Dec 2017,(PA) Diberi Paten,2016/04081,24-Jun-16,25-Jun-15,18-Oct-13,"2012-288149 28 Dec 2012 JP
",B60C 25/12,"HONDA MOTOR CO., LTD."
P00201400692,IDP000045816,15 May 2017,(PA) Menunggu Respon Dihapuskan,2015/01510,24-Apr-15,7-Feb-14,7-Feb-14,"2013-039502 28 Feb 2013 JP
","F02N 11/08,G01R 31/00","HONDA MOTOR CO., LTD."
P00201200320,IDP000042250,12 Aug 2016,(PA) Diberi Paten,2012/04858,29-Nov-12,25-Apr-12,25-Apr-12,"2011-111355 18 May 2011 JP
",B62M 9/16,"HONDA MOTOR CO., LTD."
P00201402254,IDP000046280,14 Jun 2017,(PA) Masa Tenggang Dihapuskan,2015/02251,5-Jun-15,17-Apr-14,17-Oct-12,"2012-154832 10 Jul 2012 JP
","F04D 29/22,F04D 29/28,F04D 29/60","HONDA MOTOR CO., LTD."
P00201504690,IDP000059098,23 May 2019,(PA) Diberi Paten,2017/01919,10-Mar-17,30-Jul-15,28-Jan-14,"2013-021293 06 Feb 2013 JP
","F16H 61/00,F16H 57/04","HONDA MOTOR CO.,LTD."
P00201100570,IDP000045642,08 May 2017,(PA) Dihapuskan,2012/01864,5-Apr-12,27-Sep-11,27-Sep-11,"2010-222842 30 Sep 2010 JP
",F02D 41/00,"HONDA MOTOR CO., LTD."
P00201500103,IDP000053542,19 Sep 2018,(PA) Dihapuskan,2016/04572,5-Aug-16,9-Jan-15,8-Jul-13,"2012-158937 17 Jul 2012 JP
","F02D 29/06,F02D 41/04,F16H 61/14","HONDA MOTOR CO.,LTD."
P00201000422,IDP000043648,05 Dec 2016,(PA) Diberi Paten,51.0392,10-Feb-11,7-Jul-10,7-Jul-10,"2009-175303 28 Jul 2009 JP
","F02D 41/00,F02D 43/00","HONDA MOTOR CO., LTD."
P00201100468,IDP000038530,07 May 2015,(PA) Dihapuskan,2012/01212,8-Mar-12,10-Aug-11,10-Aug-11,"2010-192199 30 Aug 2010 JP
","B62J 1/28,B62J 15/00,B62J 21/00","HONDA MOTOR CO., LTD."
P00201402155,IDP000058942,21 May 2019,(PA) Diberi Paten,2015/02423,19-Jun-15,14-Apr-14,28-Sep-11,"- - -
","F16H 9/00,F16H 9/26","HONDA MOTOR CO., LTD."
